Project name,Project Ticker,since,Max. Supply,Type of Funding,Consensus Type,Algorithm,Base Code,Mineable,Difficulty Adjustment,Block Size (MD),block time,Transactions Per second,MasterNodes,Privacy By default,optional privacy,Privacy Type/Features,other features,Community size,developers count,Team Members total,official website,repository,oficial paper,offers exclusive mobile wallet?,open source mobile wallets,open source wallet ios,open source wallet Android,notes
VEIL,VEIL,2019,"300,000,000","Different Founder Rewards per year, declining over time.",Hybrid Proof-of-Stake (POS) / Proof-of-Work (POW),X16RT,Bitcoin Core 0.17.1,YES,retargeting every block,2 MB,1 minute,,NO,YES,NO,"Zerocoin protocol, Dandelion protocol, Confidential Transactions (RingCT)","Bulletproofs, multi-transaction Zerocoin spends",,,,https://veil-project.com/,https://github.com/Veil-Project/veil,no paper,no,,,,
Sumokoin,SUMO,2017,"88,888,888","~8,800,000",Proof-of-Work (POW),Cryptonite,Cryptonite,YES,,,240 seconds = 4 minutes,,NO,,,Confidential Transactions (RingCT),Bulletproof,"7,101",4,4,https://www.sumokoin.org/,https://github.com/sumoprojects/sumokoin,https://cryptonote.org/whitepaper.pdf,no,,,,
Bitcoin Zero,BZX,2018,"40,000,000",From Block Reward: 31 of 75 to dev fund,Hybrid Proof-of-Work (POW) / Proof-of-Stake (POS),Lyra2z,"First ever TRIPLE fork from BTC, LTC, HXX",YES,Dark Gravity Wave,4MB,2.5 minutes,,YES,NO,YES,ZeroCoin Protocol patched,"AtomicSwap, three coin privacy-focused ecosystem","2,923",4,12,,https://github.com/SpecialCoins/BitcoinZero/,no paper,no,,,,
Lobstex,LOBS,2018,"78,600,000","Premine: 2,500,000",Proof-of-Stake (POS),Quark,,NO,,,1 minute,,YES,NO,YES,Zerocoin Protocol,,,,,http://www.lobstex.com/,https://github.com/avymantech/lobstex,http://lobstex.com/wp-content/uploads/2018/08/Lobstex-Whitepaper.pdf,no,,,,
Bulwark,BWK,2017,"27,000,000","Unclear, Funding Problems !!!",Proof-of-Stake (POS),,"PIVX 2.3, then backported code from Bitcoin 0.13 and DASH 12.1",NO,,,90 seconds,,YES,NO,YES,Zerocoin Protocol,"Bulwark Secure Home Node, Citadel Home Router","7,613",4,7,down,https://github.com/bulwark-crypto,no paper,no,,,,
NOIR (rebrand of Zoin!),NOR,"2016, NOIR since November 2018","21,000,000",From block rewards: 37.5 of 50.0 to DEV fund (75% !!!),Proof-of-Work (POW),Lyra2z330,"Zcoin, unknown for Zcoin",YES,,,2.5 minutes,,YES,,,Zerocoin Protocol,"Zcoin discontinued, claims that some devs have stollen funds and rebranded it to NOIR",497,,,https://noirofficial.org/,https://github.com/noirofficial/noir,https://noirofficial.org/wp-content/uploads/2018/10/NoirWhitepaper.pdf,yes,no,,,
HUSH,HUSH,2016,"21,000,000","Premine: 0.578% (121,475), Founder Reward removed",Proof-of-Work (POW),Equihash,Bitcoin??,YES,"Every block, Digishield V3","unknown, no whitepaper !!!",2.5 minutes,,NO??,"unknown, no whitepaper !!!","unknown, no whitepaper !!!","zkSNARK (upstream Zcash 1.0.13 build), TLS (secure nodes), TOR nodes","Private Hush Messenger, HushList,","4,810",3,4,https://myhush.org/,https://github.com/MyHush/hush3,https://github.com/leto/hushlist/blob/master/whitepaper/protocol.pdf,no,,,,
Wispr,WSP,2018,"120,000,000","Premine: 25,000,000",v3.0 Proof-of-Stake (PoS),,"Blackcoin, a fork from Bitcoin",NO,,,1 minute,,YES,,,"unknown, no whitepaper !!!",,941,5,12,down,https://github.com/WisprProject/core,,no,,,,
PRiVCY,PRIV,2018,"30,000,000",premined coins: 21 000 000 !!!,Hybrid Proof-of-Stake (POS) / Proof-Of-Work (POW),X13,,YES,,1.5 MB,27.0 seconds,,NO,,,"PRiVCY Mixer + integrated with TOR, Stealth adresses",PRIVCY Messenger,"5,849",,,https://privcy.eu/,https://github.com/privcycoin/privcy,https://privcy.eu/#whitepaper,yes,no,,,
Crave,CRAVE,2015,"1,000,000,000",Up to 9% of block rewards are allocated to project development,v3.0 Proof-of-Stake (PoS),SHA-256,"Bitcoin, DASH, PIVX",NO,,Adaptive Blocks up to 40MB,1 minute,,YES,,,Zerocoin Protocol which uses the RSA-2048 accumulator,LightX,"2,657",3,,https://crave.cc/,https://github.com/Crave-Community-Project,https://crave.cc/pdf/White_Paper_for_Crave_NextGen.pdf,no,no,,,
